epoch,epoch_val_accuracy,epoch_val_loss,step,train_loss,val_accuracy,val_loss
99,,,1099,0.8665214776992798,,
99,0.5703125,1.2040574550628662,1099,,0.5703125,1.2040574550628662
100,0.4765625,1.2251790761947632,1110,,0.4765625,1.2251790761947632
101,0.296875,1.3745752573013306,1121,,0.296875,1.3745752573013306
102,0.4765625,1.2967661619186401,1132,,0.4765625,1.2967661619186401
103,0.421875,1.2923096418380737,1143,,0.421875,1.2923096418380737
104,,,1149,0.8937597274780273,,
104,0.546875,1.2298591136932373,1154,,0.546875,1.2298591136932373
105,0.484375,1.3014682531356812,1165,,0.484375,1.3014682531356812
106,0.6015625,1.1731600761413574,1176,,0.6015625,1.1731600761413574
107,0.5234375,1.2155382633209229,1187,,0.5234375,1.2155382633209229
108,0.5546875,1.1936687231063843,1198,,0.5546875,1.1936687231063843
109,,,1199,0.8454667329788208,,
109,0.5859375,1.1943496465682983,1209,,0.5859375,1.1943496465682983
110,0.6640625,1.1014466285705566,1220,,0.6640625,1.1014466285705566
111,0.53125,1.3246699571609497,1231,,0.53125,1.3246699571609497
112,0.484375,1.305325984954834,1242,,0.484375,1.305325984954834
113,,,1249,0.9014160633087158,,
113,0.515625,1.258604645729065,1253,,0.515625,1.258604645729065
114,0.53125,1.2847263813018799,1264,,0.53125,1.2847263813018799
115,0.4765625,1.2604631185531616,1275,,0.4765625,1.2604631185531616
116,0.65625,1.1523206233978271,1286,,0.65625,1.1523206233978271
117,0.6484375,1.1341642141342163,1297,,0.6484375,1.1341642141342163
118,,,1299,0.8075651526451111,,
118,0.6015625,1.1532732248306274,1308,,0.6015625,1.1532732248306274
119,0.421875,1.2796893119812012,1319,,0.421875,1.2796893119812012
120,0.6171875,1.1282072067260742,1330,,0.6171875,1.1282072067260742
121,0.375,1.3652994632720947,1341,,0.375,1.3652994632720947
122,,,1349,0.7934150099754333,,
122,0.4609375,1.339861512184143,1352,,0.4609375,1.339861512184143
123,0.5703125,1.1828396320343018,1363,,0.5703125,1.1828396320343018
124,0.546875,1.2005689144134521,1374,,0.546875,1.2005689144134521
125,0.609375,1.1683363914489746,1385,,0.609375,1.1683363914489746
126,0.6171875,1.162449836730957,1396,,0.6171875,1.162449836730957
127,,,1399,0.8354910612106323,,
127,0.65625,1.135501742362976,1407,,0.65625,1.135501742362976
128,0.6171875,1.175653100013733,1418,,0.6171875,1.175653100013733
129,0.609375,1.1909682750701904,1429,,0.609375,1.1909682750701904
130,0.4921875,1.193292260169983,1440,,0.4921875,1.193292260169983
131,,,1449,0.7881699800491333,,
131,0.5546875,1.3639824390411377,1451,,0.5546875,1.3639824390411377
132,0.4609375,1.3078763484954834,1462,,0.4609375,1.3078763484954834
133,0.5703125,1.2276906967163086,1473,,0.5703125,1.2276906967163086
134,0.6015625,1.2265241146087646,1484,,0.6015625,1.2265241146087646
135,0.4921875,1.2786017656326294,1495,,0.4921875,1.2786017656326294
136,,,1499,0.8570309281349182,,
136,0.6171875,1.1722701787948608,1506,,0.6171875,1.1722701787948608
137,0.5625,1.2028982639312744,1517,,0.5625,1.2028982639312744
138,0.4453125,1.2099025249481201,1528,,0.4453125,1.2099025249481201
139,0.6015625,1.1692581176757812,1539,,0.6015625,1.1692581176757812
140,,,1549,0.7948406934738159,,
140,0.640625,1.1063470840454102,1550,,0.640625,1.1063470840454102
141,0.28125,1.3828665018081665,1561,,0.28125,1.3828665018081665
142,0.3828125,1.3586037158966064,1572,,0.3828125,1.3586037158966064
143,0.5234375,1.2470049858093262,1583,,0.5234375,1.2470049858093262
144,0.5859375,1.23349928855896,1594,,0.5859375,1.23349928855896
145,,,1599,0.7537171244621277,,
145,0.53125,1.2210021018981934,1605,,0.53125,1.2210021018981934
146,0.609375,1.157071590423584,1616,,0.609375,1.157071590423584
147,0.6015625,1.1836891174316406,1627,,0.6015625,1.1836891174316406
148,0.65625,1.0875569581985474,1638,,0.65625,1.0875569581985474
149,,,1649,0.7882658243179321,,
149,0.4375,1.3203203678131104,1649,,0.4375,1.3203203678131104
150,0.546875,1.1919969320297241,1660,,0.546875,1.1919969320297241
151,0.4765625,1.3419805765151978,1671,,0.4765625,1.3419805765151978
152,0.390625,1.3507280349731445,1682,,0.390625,1.3507280349731445
153,0.4453125,1.2928415536880493,1693,,0.4453125,1.2928415536880493
154,,,1699,0.7749101519584656,,
154,0.3671875,1.3650306463241577,1704,,0.3671875,1.3650306463241577
155,0.640625,1.1317973136901855,1715,,0.640625,1.1317973136901855
156,0.546875,1.2247693538665771,1726,,0.546875,1.2247693538665771
157,0.5,1.2430566549301147,1737,,0.5,1.2430566549301147
158,0.53125,1.2461128234863281,1748,,0.53125,1.2461128234863281
159,,,1749,0.8162593245506287,,
159,0.6171875,1.1339789628982544,1759,,0.6171875,1.1339789628982544
160,0.484375,1.2613157033920288,1770,,0.484375,1.2613157033920288
161,0.3203125,1.3850297927856445,1781,,0.3203125,1.3850297927856445
162,0.4921875,1.283700704574585,1792,,0.4921875,1.283700704574585
163,,,1799,0.8689906001091003,,
163,0.390625,1.3325132131576538,1803,,0.390625,1.3325132131576538
164,0.3671875,1.3341983556747437,1814,,0.3671875,1.3341983556747437
165,0.515625,1.2262922525405884,1825,,0.515625,1.2262922525405884
166,0.5390625,1.192041039466858,1836,,0.5390625,1.192041039466858
167,0.5703125,1.1583958864212036,1847,,0.5703125,1.1583958864212036
168,,,1849,0.7826339602470398,,
168,0.59375,1.212595820426941,1858,,0.59375,1.212595820426941
169,0.5625,1.1268478631973267,1869,,0.5625,1.1268478631973267
170,0.609375,1.1102735996246338,1880,,0.609375,1.1102735996246338
171,0.5,1.2845137119293213,1891,,0.5,1.2845137119293213
172,,,1899,0.821234405040741,,
172,0.5,1.2372100353240967,1902,,0.5,1.2372100353240967
173,0.3828125,1.3320763111114502,1913,,0.3828125,1.3320763111114502
174,0.5546875,1.2911776304244995,1924,,0.5546875,1.2911776304244995
175,0.53125,1.2794098854064941,1935,,0.53125,1.2794098854064941
176,0.640625,1.2096648216247559,1946,,0.640625,1.2096648216247559
177,,,1949,0.7987954020500183,,
177,0.640625,1.0916317701339722,1957,,0.640625,1.0916317701339722
178,0.6796875,1.135298252105713,1968,,0.6796875,1.135298252105713
179,0.5546875,1.263561487197876,1979,,0.5546875,1.263561487197876
180,0.6484375,1.0855796337127686,1990,,0.6484375,1.0855796337127686
181,,,1999,0.8151476383209229,,
